Id,Id2,State,Id,Total Population,Total Percentage,TM Population,TM %,TF Pop,TF %,Under 5Pop,Under 5 %,5 to 9 POp,5 to 9 %,10 to 14 Pop,10 to 14 %,15 to 19 Pop,15 to 19 %,20 to 24 Pop,20 to 24 %,25 to 34 Pop,25 to 34 %,35 to 44 Pop,35 to 44 %,45 to 54 Pop,45 to 54 %,55 to 59 Pop,55 to 59 %,60 to 64 Pop,60 to 64 %,65 to 74 Pop,65 to 74 %,75 to 84 Pop,75 to 84 %,85+ Pop,85+ %,Median age,18+ Pop,18+ %,21+ Pop,21+ %,62+ Pop,62+ %,65+ Pop,65+ %,18+ Pop,18+ Pop f,18+ M Pop,18+ M %,18+ F POp,18+ F %,65+ Pop,65+ %,65+ M Pop,65+ M %,65+ F Pop,65+ F %,18+ Citizen Pop,18+ Citizen M Pop,18+ Citizen M %,18+ Citizen F Pop,18+ Citizen F %
0400000US01,AL,Alabama,48,10039,10039,4817,48,5222,52,836,8.3,777,7.7,883,8.8,811,8.1,694,6.9,1943,19.4,1753,17.5,1139,11.3,334,3.3,304,3,413,4.1,128,1.3,24,0.2,31.6,7043,70.2,6500,64.7,733,7.3,565,5.6,7043,7043,3346,47.5,3697,52.5,565,565,291,51.5,274,48.5,5209,2686,51.6,2523,48.4
0400000US02,AK,Alaska,48,1874,1874,817,43.6,1057,56.4,159,8.5,164,8.8,142,7.6,235,12.5,214,11.4,174,9.3,266,14.2,306,16.3,127,6.8,51,2.7,36,1.9,0,0,0,0,26.4,1254,66.9,1128,60.2,60,3.2,36,1.9,1254,1254,550,43.9,704,56.1,36,36,10,27.8,26,72.2,1010,463,45.8,547,54.2
0400000US04,AZ,Arizona,48,31208,31208,14807,47.4,16401,52.6,1459,4.7,2379,7.6,2582,8.3,2329,7.5,2516,8.1,4184,13.4,6052,19.4,4341,13.9,1543,4.9,1529,4.9,1584,5.1,596,1.9,114,0.4,35.2,23337,74.8,22053,70.7,3070,9.8,2294,7.4,23337,23337,11027,47.3,12310,52.7,2294,2294,1036,45.2,1258,54.8,18312,8682,47.4,9630,52.6
0400000US05,AR,Arkansas,48,6914,6914,3632,52.5,3282,47.5,429,6.2,208,3,662,9.6,660,9.5,713,10.3,780,11.3,1338,19.4,882,12.8,376,5.4,424,6.1,258,3.7,184,2.7,0,0,35.1,5199,75.2,4796,69.4,641,9.3,442,6.4,5199,5199,2648,50.9,2551,49.1,442,442,180,40.7,262,59.3,4079,2007,49.2,2072,50.8
0400000US06,CA,California,48,699418,699418,336226,48.1,363192,51.9,40492,5.8,48062,6.9,47635,6.8,47860,6.8,49130,7,92072,13.2,114267,16.3,103694,14.8,43287,6.2,38625,5.5,45781,6.5,21618,3.1,6895,1,37.6,535301,76.5,505203,72.2,95576,13.7,74294,10.6,535301,535301,252425,47.2,282876,52.8,74294,74294,35028,47.1,39266,52.9,460765,220754,47.9,240011,52.1
0400000US08,CO,Colorado,48,26474,26474,12554,47.4,13920,52.6,1644,6.2,2390,9,2049,7.7,2245,8.5,2001,7.6,3604,13.6,4419,16.7,3435,13,1483,5.6,1211,4.6,1187,4.5,706,2.7,100,0.4,32.6,18995,71.7,17674,66.8,2632,9.9,1993,7.5,18995,18995,8973,47.2,10022,52.8,1993,1993,975,48.9,1018,51.1,15119,7370,48.7,7749,51.3
0400000US09,CT,Connecticut,48,10168,10168,5036,49.5,5132,50.5,634,6.2,615,6,916,9,941,9.3,765,7.5,1312,12.9,1715,16.9,1437,14.1,629,6.2,492,4.8,494,4.9,167,1.6,51,0.5,33.8,7538,74.1,6982,68.7,1022,10.1,712,7,7538,7538,3723,49.4,3815,50.6,712,712,382,53.7,330,46.3,6105,3218,52.7,2887,47.3
0400000US10,DE,Delaware,48,2062,2062,979,47.5,1083,52.5,119,5.8,116,5.6,95,4.6,142,6.9,196,9.5,283,13.7,178,8.6,468,22.7,194,9.4,143,6.9,110,5.3,18,0.9,0,0,37.8,1621,78.6,1535,74.4,220,10.7,128,6.2,1621,1621,774,47.7,847,52.3,128,128,73,57,55,43,1307,676,51.7,631,48.3
0400000US11,DC,District of Columbia,48,2207,2207,993,45,1214,55,103,4.7,191,8.7,68,3.1,53,2.4,162,7.3,756,34.3,349,15.8,170,7.7,114,5.2,92,4.2,68,3.1,54,2.4,27,1.2,30.9,1845,83.6,1783,80.8,150,6.8,149,6.8,1845,1845,769,41.7,1076,58.3,149,149,78,52.3,71,47.7,1388,694,50,694,50
0400000US12,FL,Florida,48,78659,78659,37238,47.3,41421,52.7,5232,6.7,6296,8,5389,6.9,5692,7.2,5749,7.3,11157,14.2,13859,17.6,10548,13.4,4480,5.7,3534,4.5,5139,6.5,1142,1.5,442,0.6,34.8,58228,74,54991,69.9,8774,11.2,6723,8.5,58228,58228,27095,46.5,31133,53.5,6723,6723,3179,47.3,3544,52.7,44814,21622,48.2,23192,51.8
